onset	duration	sample	value
4.1640625	n/a	2132	condition 2
4.369140625	n/a	2237	condition 22
12.01367188	n/a	6151	condition 2
12.21679688	n/a	6255	condition 22
21.86132812	n/a	11193	condition 2
22.06640625	n/a	11298	condition 22
29.06445312	n/a	14881	condition 2
29.26953125	n/a	14986	condition 22
37.09960938	n/a	18995	condition 2
37.30273438	n/a	19099	condition 22
46.57617188	n/a	23847	condition 2
46.77929688	n/a	23951	condition 22
54.62695312	n/a	27969	condition 2
54.83007812	n/a	28073	condition 22
62.4765625	n/a	31988	condition 2
62.67773438	n/a	32091	condition 22
69.6796875	n/a	35676	condition 2
69.8828125	n/a	35780	condition 22
79.50976562	n/a	40709	condition 2
79.71289062	n/a	40813	condition 22
82.00195312	n/a	41985	condition 13
90.59375	n/a	46384	condition 99
93.4140625	n/a	47828	condition 22
101.2597656	n/a	51845	condition 2
101.4628906	n/a	51949	condition 22
109.1074219	n/a	55863	condition 2
109.3105469	n/a	55967	condition 22
116.296875	n/a	59544	condition 2
116.4980469	n/a	59647	condition 22
126.1425781	n/a	64585	condition 2
126.3457031	n/a	64689	condition 22
134.2109375	n/a	68716	condition 2
134.4140625	n/a	68820	condition 22
141.3984375	n/a	72396	condition 2
141.6015625	n/a	72500	condition 22
149.2304688	n/a	76406	condition 2
149.4355469	n/a	76511	condition 22
159.078125	n/a	81448	condition 2
159.28125	n/a	81552	condition 22
168.5527344	n/a	86299	condition 2
168.7558594	n/a	86403	condition 22
175.7578125	n/a	89988	condition 2
175.9609375	n/a	90092	condition 22
183.7910156	n/a	94101	condition 2
183.9941406	n/a	94205	condition 22
191.640625	n/a	98120	condition 2
191.84375	n/a	98224	condition 22
201.4882812	n/a	103162	condition 2
201.6914062	n/a	103266	condition 22
210.9628906	n/a	108013	condition 2
211.1660156	n/a	108117	condition 22
219.015625	n/a	112136	condition 2
219.21875	n/a	112240	condition 22
226.8632812	n/a	116154	condition 2
227.0664062	n/a	116258	condition 22
236.7109375	n/a	121196	condition 2
236.9140625	n/a	121300	condition 22
243.9160156	n/a	124885	condition 2
244.1191406	n/a	124989	condition 22
253.3730469	n/a	129727	condition 2
253.5761719	n/a	129831	condition 22
263.2226562	n/a	134770	condition 2
263.4277344	n/a	134875	condition 22
271.2734375	n/a	138892	condition 2
271.4765625	n/a	138996	condition 22
279.1386719	n/a	142919	condition 2
279.3417969	n/a	143023	condition 22
288.6132812	n/a	147770	condition 2
288.8183594	n/a	147875	condition 22
295.8183594	n/a	151459	condition 2
296.0214844	n/a	151563	condition 22
305.2753906	n/a	156301	condition 2
305.4804688	n/a	156406	condition 22
315.125	n/a	161344	condition 2
315.3300781	n/a	161449	condition 22
323.1757812	n/a	165466	condition 2
323.3789062	n/a	165570	condition 22
330.3808594	n/a	169155	condition 2
330.5839844	n/a	169259	condition 22
338.2460938	n/a	173182	condition 2
338.4492188	n/a	173286	condition 22
345.4335938	n/a	176862	condition 2
345.6347656	n/a	176965	condition 22
354.9082031	n/a	181713	condition 2
355.1113281	n/a	181817	condition 22
362.7558594	n/a	185731	condition 2
362.9609375	n/a	185836	condition 22
370.8066406	n/a	189853	condition 2
371.0097656	n/a	189957	condition 22
380.6738281	n/a	194905	condition 2
380.875	n/a	195008	condition 22
390.5195312	n/a	199946	condition 2
390.7246094	n/a	200051	condition 22
400.0136719	n/a	204807	condition 2
400.2167969	n/a	204911	condition 22
407.2167969	n/a	208495	condition 2
